case,val_index,finding_id,category,row,model,policy,dice,hit,gt_voxels,pred_voxels,tp,fp,fn,pp3_route_corrected
train_13481_a_2.nii.gz,8,2,2c,category_best,exp007_cont_e050_abs_e150,raw,2.662024096635036e-12,False,36225,339429,0,339429,36225,False
train_13481_a_2.nii.gz,8,2,2c,category_best,exp007_cont_e050_abs_e150,pp2_whole_lung20,2.662024096635036e-12,False,36225,339429,0,339429,36225,False
train_13481_a_2.nii.gz,8,2,2c,category_best,exp007_cont_e050_abs_e150,pp3_fine20_corrected_routes,2.662024096635036e-12,False,36225,339429,0,339429,36225,False
train_13481_a_2.nii.gz,8,2,2c,iso07_best,exp017_cont_e050_abs_e150,raw,1.3164130377373965e-11,False,36225,39739,0,39739,36225,False
train_13481_a_2.nii.gz,8,2,2c,iso07_best,exp017_cont_e050_abs_e150,pp2_whole_lung20,1.3164130377373965e-11,False,36225,39739,0,39739,36225,False
train_13481_a_2.nii.gz,8,2,2c,iso07_best,exp017_cont_e050_abs_e150,pp3_fine20_corrected_routes,1.3164130377373965e-11,False,36225,39739,0,39739,36225,False
train_2458_a_2.nii.gz,9,0,2d,overall_best,exp007_cont_e050_abs_e150,raw,0.10326499654393888,True,186,2448,136,2312,50,False
train_2458_a_2.nii.gz,9,0,2d,overall_best,exp007_cont_e050_abs_e150,pp2_whole_lung20,0.10326499654393888,True,186,2448,136,2312,50,False
train_2458_a_2.nii.gz,9,0,2d,overall_best,exp007_cont_e050_abs_e150,pp3_fine20_corrected_routes,0.10326499654393888,True,186,2448,136,2312,50,False
train_2458_a_2.nii.gz,9,0,2d,category_best,exp007_cont_e050_abs_e150,raw,0.10326499654393888,True,186,2448,136,2312,50,False
train_2458_a_2.nii.gz,9,0,2d,category_best,exp007_cont_e050_abs_e150,pp2_whole_lung20,0.10326499654393888,True,186,2448,136,2312,50,False
train_2458_a_2.nii.gz,9,0,2d,category_best,exp007_cont_e050_abs_e150,pp3_fine20_corrected_routes,0.10326499654393888,True,186,2448,136,2312,50,False
train_2458_a_2.nii.gz,9,0,2d,iso07_best,exp017_cont_e050_abs_e150,raw,0.08724628927984057,False,186,3115,144,2971,42,False
train_2458_a_2.nii.gz,9,0,2d,iso07_best,exp017_cont_e050_abs_e150,pp2_whole_lung20,0.09927611199611303,False,186,2715,144,2571,42,False
train_2458_a_2.nii.gz,9,0,2d,iso07_best,exp017_cont_e050_abs_e150,pp3_fine20_corrected_routes,0.09927611199611303,False,186,2715,144,2571,42,False
train_13256_b_2.nii.gz,10,0,2c,overall_best,exp007_cont_e050_abs_e150,raw,0.47077163610742406,True,909351,405673,309538,96135,599813,False
train_13256_b_2.nii.gz,10,0,2c,overall_best,exp007_cont_e050_abs_e150,pp2_whole_lung20,0.47246204931816416,True,909351,400968,309538,91430,599813,False
train_13256_b_2.nii.gz,10,0,2c,overall_best,exp007_cont_e050_abs_e150,pp3_fine20_corrected_routes,0.47246204931816416,True,909351,400968,309538,91430,599813,False
train_13256_b_2.nii.gz,10,0,2c,category_best,exp007_cont_e050_abs_e150,raw,0.47077163610742406,True,909351,405673,309538,96135,599813,False
train_13256_b_2.nii.gz,10,0,2c,category_best,exp007_cont_e050_abs_e150,pp2_whole_lung20,0.47246204931816416,True,909351,400968,309538,91430,599813,False
train_13256_b_2.nii.gz,10,0,2c,category_best,exp007_cont_e050_abs_e150,pp3_fine20_corrected_routes,0.47246204931816416,True,909351,400968,309538,91430,599813,False
train_13256_b_2.nii.gz,10,0,2c,iso07_best,exp017_cont_e050_abs_e150,raw,0.42332426464372913,True,909351,370878,270976,99902,638375,False
train_13256_b_2.nii.gz,10,0,2c,iso07_best,exp017_cont_e050_abs_e150,pp2_whole_lung20,0.42359425767955805,True,909351,370062,270976,99086,638375,False
train_13256_b_2.nii.gz,10,0,2c,iso07_best,exp017_cont_e050_abs_e150,pp3_fine20_corrected_routes,0.42359425767955805,True,909351,370062,270976,99086,638375,False
train_13256_b_2.nii.gz,10,1,2b,overall_best,exp007_cont_e050_abs_e150,raw,0.021774063514977873,False,7615,172232,1958,170274,5657,False
train_13256_b_2.nii.gz,10,1,2b,overall_best,exp007_cont_e050_abs_e150,pp2_whole_lung20,0.021774063514977873,False,7615,172232,1958,170274,5657,False
train_13256_b_2.nii.gz,10,1,2b,overall_best,exp007_cont_e050_abs_e150,pp3_fine20_corrected_routes,0.021774063514977873,False,7615,172232,1958,170274,5657,False
train_13256_b_2.nii.gz,10,1,2b,category_best,exp013_category_2all_focal_target100_e100,raw,0.056512749838915945,False,7615,76543,2378,74165,5237,False
train_13256_b_2.nii.gz,10,1,2b,category_best,exp013_category_2all_focal_target100_e100,pp2_whole_lung20,0.07755148630982192,False,7615,53712,2378,51334,5237,False
train_13256_b_2.nii.gz,10,1,2b,category_best,exp013_category_2all_focal_target100_e100,pp3_fine20_corrected_routes,0.07755148630982192,False,7615,53712,2378,51334,5237,False
train_13256_b_2.nii.gz,10,1,2b,iso07_best,exp017_cont_e050_abs_e150,raw,0.01223282255718403,False,7615,22468,184,22284,7431,False
train_13256_b_2.nii.gz,10,1,2b,iso07_best,exp017_cont_e050_abs_e150,pp2_whole_lung20,0.013812776855573425,False,7615,19027,184,18843,7431,False
train_13256_b_2.nii.gz,10,1,2b,iso07_best,exp017_cont_e050_abs_e150,pp3_fine20_corrected_routes,0.013812776855573425,False,7615,19027,184,18843,7431,False
